"","X","Date","Price","Text","bing_score","nrc_score","afin_score"
"5535",5535,"2013-02-12",117.89," pathselo good luck ",1,1,1
"5542",5542,"2013-02-12",117.89,"another must read from jeffrey lord amspec rove email leaks ideological war opens in gop ",-1,-1,-1
"5543",5543,"2013-02-12",117.89,"sorry but piersmorgan is a good amp smart man who is doing really well that s why he won apprenticenbc ",1,1,1
"5546",5546,"2013-02-13",118.43,"you ve got something unique to offer find out what it is ask yourself what can i provide that does not yet exist innovation can follow ",1,1,1
"5556",5556,"2013-02-13",118.43,"every business has surprises hidden dangers beneath the surface and little known opportunities that can lead to huge success ",1,1,1
"5562",5562,"2013-02-13",118.43," bfree definitely worth it ",1,1,1
"5563",5563,"2013-02-13",118.43," nydave good luck ",1,1,1
"5567",5567,"2013-02-13",118.43,"wow trump international hotel amp tower toronto was just ranked out of hotels in toronto trumptoronto",1,1,1
"5572",5572,"2013-02-13",118.43," dellaadame much worse ",-1,-1,-1
"5574",5574,"2013-02-13",118.43," beckettgop thanks brian and good luck ",1,1,1
"5577",5577,"2013-02-13",118.43,"next time marco rubio should drink his water from a glass as opposed to a bottle would have much less negative impact ",-1,-1,-1
"5581",5581,"2013-02-13",118.43," eddiecash great and best of luck ",1,1,1
"5582",5582,"2013-02-13",118.43,"gain and use information to your advantage see every day as an opportunity to learn ",1,1,1
"5584",5584,"2013-02-13",118.43," james g w dummy i never went bankrupt ",-1,-1,-1
"5586",5586,"2013-02-13",118.43," julespq thanks glad it was good ",1,1,1
"5590",5590,"2013-02-13",118.43,"be focused be disciplined be patient there are very few cases of instant gratification ",1,1,1
"5600",5600,"2013-02-13",118.43," amitchellmo recognize the opportunity focus on it and don t give up luck is often earned ",1,1,1
"5603",5603,"2013-02-13",118.43," eawiii thanks and good luck ",1,1,1
"5606",5606,"2013-02-13",118.43," jurciuoli not a bad idea thanks ",-1,-1,-1
"5607",5607,"2013-02-13",118.43,"what a shock higher taxes are slowing retail spending ",-1,-1,-1
"5609",5609,"2013-02-14",118.48," gop need to face reality not one of the illegal immigrants granted amnesty will vote republican ",-1,1,-1
"5610",5610,"2013-02-14",118.48," nwsocialist dopey big success and great for scotland ",1,1,1
"5612",5612,"2013-02-14",118.48," gilbertobm thanks gilberto and good luck ",1,1,1
"5614",5614,"2013-02-14",118.48,"paying attention is a cost effective way of protecting yourself and your interests ",1,1,1
"5618",5618,"2013-02-14",118.48," mchalefrank thanks and good luck ",1,1,1
"5623",5623,"2013-02-14",118.48,"via bw donald trump vows to fight scottish wind farm plan in courts ",1,-1,-1
"5625",5625,"2013-02-14",118.48,"it is important to think positively negative thinking will kill your focus and destroy any chance you have of being successful ",-1,1,1
"5629",5629,"2013-02-14",118.48," mayorgas good and good luck ",1,1,1
"5631",5631,"2013-02-14",118.48,"congrats trumptoronto for being ranked on tripadvisor and a travellers choice winner ",1,1,1
"5633",5633,"2013-02-14",118.48," foodnfocus happy valentine s day ",1,1,1
"5638",5638,"2013-02-14",118.48,"remember to think big by expanding your horizons at the same time you re expanding your net worth ",1,1,1
"5643",5643,"2013-02-14",118.48," dtcairney great success ",1,1,1
"5645",5645,"2013-02-14",118.48," tonystang thanks tony good luck ",1,1,1
"5651",5651,"2013-02-14",118.48," jurciuoli happy birthday ",1,1,1
"5655",5655,"2013-02-14",118.48,"not only did egypt destroy its civil society w the muslim brotherhood now it is a complete economic mess ",-1,1,-1
"5657",5657,"2013-02-14",118.48," uptownfrills apprenticenbc definitely exciting ",1,1,1
"5661",5661,"2013-02-14",118.48," meliabila great and good luck ",1,1,1
"5664",5664,"2013-02-14",118.48,"everyone s favorite frontman twisted sister lead singer deesnider returns to this year s all star apprenticenbc dee does great ",1,1,1
"5666",5666,"2013-02-14",118.48,"no surprise with the talk of amnesty in dc illegal immigration is picking up in arizona ",-1,1,-1
"5670",5670,"2013-02-15",117.4,"all star apprenticenbc has done the impossible tv s greatest villain omarosa amp thegarybusey are in competition fireworks ",-1,-1,1
"5675",5675,"2013-02-15",117.4," preppermeister thanks and good luck ",1,1,1
"5676",5676,"2013-02-15",117.4,"success is good success with significance is even better work on what you will be proud to be associated with make your work count ",1,1,1
"5686",5686,"2013-02-15",117.4," bryanbrager be passionate if you love what you re doing success will follow with passion discouragement can t take hold ",1,1,1
"5700",5700,"2013-02-15",117.4,"if i m the third most envied man in america the small group of haters and losers must be nauseas ",-1,-1,-1
"5701",5701,"2013-02-15",117.4," hosscasey happy birthday matt ",1,1,1
"5706",5706,"2013-02-15",117.4,"wow family feud said i am the third most envied man in america i respectfully disagree i am very modest ",1,-1,1
"5717",5717,"2013-02-19",117.04,"jerry buss was a great guy and friend he will be missed ",-1,1,1
"5718",5718,"2013-02-19",117.04," always protect against the downside the upside will take care of itself donald j trump",1,1,1
"5719",5719,"2013-02-19",117.04,"dianne gallagher dianneg is a great reporter for news channel in charlotte nc fantastic interview thanks ",1,1,1
"5723",5723,"2013-02-19",117.04,"now china is helping iran smuggle nuclear parts ",1,-1,1
"5727",5727,"2013-02-19",117.04," a gallon gas and we have yet to approve the keystone xl pipeline opec is laughing at us ",1,1,1
"5728",5728,"2013-02-19",117.04," being an entrepreneur is a big task so what can you do to prepare first and foremost expand your focus midas touch",1,1,1
"5730",5730,"2013-02-19",117.04,"all star apprenticenbc premiering march rd on nbc features terrific tv stars competing in the toughest tasks yet will be great ",1,1,1
"5731",5731,"2013-02-19",117.04,"good news afphq is going to fight back against rove s attack on the tea party ",-1,-1,1
"5732",5732,"2013-02-19",117.04,"the many losers and haters never have the brains or stamina to become truly successful ",-1,1,1
"5733",5733,"2013-02-19",117.04," trump i like north carolina we are looking at another deal ",1,1,1
"5735",5735,"2013-02-19",117.04," i love the lakers and when you love the lakers you want them to win so badly that you will work tirelessly dr jerry buss",1,1,1
"5738",5738,"2013-02-19",117.04,"great to see yankees captain derek jeter back on the field he will have another great season and make nyc proud again ",1,1,1
"5740",5740,"2013-02-20",116.23," leatherneck thanks and good luck ",1,1,1
"5745",5745,"2013-02-20",116.23," and an optimist is one who makes opportunities of his difficulties harry s truman",-1,-1,1
"5746",5746,"2013-02-20",116.23," the job on cbs the th copy of the apprentice was just cancelled i love it ",1,1,1
"5747",5747,"2013-02-20",116.23," scifivision celebapprentice thanks jamie tune in march rd for the new season you ll love it ",1,1,1
"5748",5748,"2013-02-20",116.23,"former winner bretmichaels returns to all star apprenticenbc march rd on nbc bret shows once again why he is a champion ",1,1,1
"5756",5756,"2013-02-20",116.23," a pessimist is one who makes difficulties of his opportunities ",-1,-1,1
"5758",5758,"2013-02-20",116.23,"i had amazing time in charlotte great people amp many new friends i look forward to coming back very soon congrats to gavin amp staff ",1,1,1
"5768",5768,"2013-02-20",116.23," jerryyanks thanks jerry good luck ",1,1,1
"5769",5769,"2013-02-20",116.23," onmylevellopez that s why you re a failure ",-1,-1,-1
"5771",5771,"2013-02-20",116.23," barbaric yawwp sadly it s worthless ",-1,-1,-1
"5777",5777,"2013-02-20",116.23,"wow macy s numbers just in trump is doing better than ever thanks for your great support ",1,1,1
"5783",5783,"2013-02-20",116.23," bguzqueda thanks boris good luck ",1,1,1
"5791",5791,"2013-02-20",116.23,"looks like a lawsuit against goangelo won t work my ties amp shirts doing too well at macy s he s actually helping i have no damages ",1,-1,1
"5792",5792,"2013-02-20",116.23," paul loan chicago is a great city and we have the most beautiful location yes it s doing well thanks ",1,1,1
"5801",5801,"2013-02-20",116.23," while i fully agree it is not politically correct ",1,1,1
"5809",5809,"2013-02-21",114.19,"john mccain had a really hard time with his town hall meeting on immigration they really went after him ",-1,-1,-1
"5823",5823,"2013-02-21",114.19,"china is not our friend they are not our ally they want to overtake us and if we don t get smart and tough soon they will ",1,1,1
"5826",5826,"2013-02-21",114.19," jamesrobert hi robert good luck ",1,1,1
"5838",5838,"2013-02-22",113.74," doesn t seem like they have a coherent strategy right now ",1,1,1
"5839",5839,"2013-02-22",113.74,"for the republicans to have any success these next two years they must have a long game plan ",1,1,1
"5848",5848,"2013-02-22",113.74,"what would all star apprenticenbc be w out a baldwin stephenbaldwin is at the top of his game this season our fans will be happy ",1,1,1
"5857",5857,"2013-02-22",113.74,"drew peterson just got years for killing his wife bring back the death penalty ",-1,-1,-1
"5866",5866,"2013-02-24",113.74,"i m saying that the tea party perhaps by another name will soon have another big moment and will be a major factor in victory ",1,1,1
"5870",5870,"2013-02-24",113.74,"come on goangelo don t give up now just because your rally at macy s drew only eleven people for twenty minutes i love macy s ",1,1,1
"5874",5874,"2013-02-24",113.74,"congrats to jimmiejohnson a great guy on winning daytona ",1,1,1
"5879",5879,"2013-02-25",114.55,"wow i was just informed that i m being inducted into the wwe hall of fame a great honor at msgnyc ",1,1,1
"5880",5880,"2013-02-25",114.55,"rt nrcc good to hear realdonaldtrump is on board gop is the party of free enterprise join us as we innovate ",1,1,1
"5885",5885,"2013-02-25",114.55,"shirley b did a very good job singing goldfinger not easy ",1,1,1
"5886",5886,"2013-02-25",114.55," jaderomaine thanks and good luck ",1,1,1
"5889",5889,"2013-02-25",114.55," it is a very effective amp commonly used business tool ",1,1,1
"5891",5891,"2013-02-25",114.55,"my foxandfriends re the sequestration failure of leadership in dc china playing us amp taking over in ",-1,-1,-1
"5892",5892,"2013-02-25",114.55," overall the academy awards were very average at best ",1,1,1
"5893",5893,"2013-02-25",114.55,"last night william shatner had more airtime than any winner it should have been called the william shatner show ",1,1,1
"5903",5903,"2013-02-25",114.55," so far he has been a complete failure at doing so he should read the art of the deal and use his energy to focus on a new career ",-1,1,-1
"5911",5911,"2013-02-25",114.55,"via mediaite donald trump trashes tacky boring oscars blasts racist django unchained ",-1,-1,-1
"5917",5917,"2013-02-25",114.55,"anne hathaway is a good winner ",1,1,1
"5918",5918,"2013-02-25",114.55,"must read column by bob woodward explaining how obama pushed for sequestration amp promised no tax increase ",1,-1,1
"5923",5923,"2013-02-25",114.55,"our leaders are terrible the government spends over b a day it can t find cuts for less than days of spending sad ",-1,-1,-1
"5924",5924,"2013-02-25",114.55,"via mediaite trump to gretawire sequester cuts don t go far enough ",1,1,-1
"5925",5925,"2013-02-25",114.55,"the b sequester is just of obama s t record deficit spending budget our leaders are ruining our children s future ",-1,-1,-1
"5928",5928,"2013-02-25",114.55,"my gretawire interview discussing why the sequestration cuts are necessary our t national debt amp election ",-1,-1,-1
"5932",5932,"2013-02-25",114.55,"sorry i never went bankrupt and don t wear a wig it s all mine ",-1,-1,-1
"5936",5936,"2013-02-26",112.96," tedcruz must be doing something right if cher sadly rated the th ugliest celebrity according to listverse is attacking him ",-1,-1,-1
"5942",5942,"2013-02-26",112.96,"rt austinroneil realdonaldtrump thanks for all the inspirational quotes helping encourage this young entrepreneur ",1,1,1
"5946",5946,"2013-02-26",112.96," preewbrfu wind turbines are a disaster ",-1,-1,-1
"5950",5950,"2013-02-26",112.96,"one of the reasons i assume i was inducted into the wwe hall of fame is that vince mcmahon and i have the all time highest ratings ",1,1,1
"5955",5955,"2013-02-26",112.96,"via bleacherreport donald trump to be inducted into wwe hall of fame ",1,1,1
"5956",5956,"2013-02-26",112.96," teaparty my honor ",1,1,1
"5957",5957,"2013-02-26",112.96," and pay per view records with battle of the billionaires in detroit it was a wild day ",-1,-1,-1
"5960",5960,"2013-02-26",112.96," gjelajg be passionate about your work focus and never give up ",1,1,1
"5962",5962,"2013-02-26",112.96,"via miamiherald donald trump to be inducted into wwe hall of fame ",1,1,1
"5964",5964,"2013-02-26",112.96,"shark tank is a dead friday night filler compared to the apprentice which has been number one show for week in the t v ratings ",-1,-1,-1
"5965",5965,"2013-02-26",112.96," lord grant that i may always desire more than i can accomplish michelangelo",1,1,1
"5966",5966,"2013-02-26",112.96,"the united states better address china s exchange rate before they steal our country and it is too late china is laughing at us ",-1,1,1
"5969",5969,"2013-02-26",112.96,"it is a great honor for me to be inducted into the wwe hall of fame this will take place on april ",1,1,1
"5970",5970,"2013-02-26",112.96,"there is no comparison between apprenticenbc and shark tank in the ratings the apprentice beats shark tank hands ",-1,-1,-1
"5976",5976,"2013-02-26",112.96," i wonder if angelo has a job or is on assistance in any event i m sure he is a nice guy ",1,1,1
"5977",5977,"2013-02-26",112.96,"now i know that yahoo is in good hands it took great courage for marissamayer to take away the right of employees to work at home ",1,1,1
"5979",5979,"2013-02-26",112.96," you keep forgetting to mention the fragrance success ",1,1,1
"5985",5985,"2013-02-27",112.24,"many people have commented that my fragrance success is the best scent amp lasts the longest try it amp let me know what you think ",1,1,1
"5986",5986,"2013-02-27",112.24,"isn t it ironic that president obama of all people is pushing for universal background checks ",-1,1,-1
"5988",5988,"2013-02-27",112.24,"the government will spend over t this year the sequester is a pittance of the outlays less than where s the problem ",-1,-1,-1
"5991",5991,"2013-02-27",112.24," ed the honest thanks ed ",1,1,1
"6006",6006,"2013-02-27",112.24," kymdelange wow what a great honor thanks ",1,1,1
"6010",6010,"2013-02-27",112.24," hvrhrump i will thanks success is fantastic ",1,1,1
"6011",6011,"2013-02-27",112.24," sdcrane marissamayer excellent ",1,1,1
"6017",6017,"2013-02-27",112.24," therealchosen thanks and good luck ",1,1,1
"6018",6018,"2013-02-27",112.24," my deeary i wish realdonaldtrump would teach me all his little secrets to success good idea ",1,1,1
"6019",6019,"2013-02-27",112.24," mrmikelobikis realdonaldtrump proud of you bruh thanks ",1,1,1
"6025",6025,"2013-02-27",112.24," goangelo the next time you have a rally macy s try getting people instead of it would be much more effective ",1,1,1
"6028",6028,"2013-02-27",112.24," ialia great just won five star ratings for hotel and restaurant from forbes travel guide ",1,1,1
"6031",6031,"2013-02-27",112.24," jesscot kuhpuh pennjillette awwww i freakin love celeb apprentice and realdonaldtrump amp bretmichaels thanks ",1,1,1
"6032",6032,"2013-02-27",112.24," taliahfogal one of my favorite celeb that i follow is definitely realdonaldtrump hands down success truth thanks ",1,1,1
"6035",6035,"2013-02-27",112.24,"there was a major diplomatic breakthrough yesterday w the white house iran amp china all celebrated chuck hagel being voted in as sod ",1,1,1
"6039",6039,"2013-02-27",112.24,"everyone loves tv s darling therealmarilu but wait until you see her tough amp competitive side in the upcoming celebapprentice ",1,-1,1
"6040",6040,"2013-02-27",112.24,"via wwe donald trump announced for wwe hall of fame ",1,1,1
"6041",6041,"2013-02-27",112.24," andrezakar realdonaldtrump just bought a trump series mattress awesome and exactly what you expect from trump thanks",1,1,1
"6044",6044,"2013-02-27",112.24," melissa realdonaldtrump jracker you should run for president thanksvery nice ",1,1,1
"6045",6045,"2013-02-27",112.24,"via today clicker donald trump promises tough and mean and nasty celebrity apprentice ",1,-1,-1
"6050",6050,"2013-02-27",112.24,"why does bill o reilly keep putting karl rove on his show a total waste of time rove spent and didn t win a race pathetic ",-1,-1,1
"6052",6052,"2013-02-27",112.24,"the pope should not have resigned he should have lived it out it hurts him it hurts the church ",-1,1,-1
"6057",6057,"2013-02-27",112.24," and says something is seriously wrong he will never go down as great ",-1,-1,1
"6059",6059,"2013-02-27",112.24," mailloua realdonaldtrump the all star apprenticenbc looks awesome from the clip i just watched on jimmyfallon thanks ",1,1,1
"6063",6063,"2013-02-27",112.24," rove s ad campaign has made ashley judd a totally credible candidate be careful mitch ",1,1,1
"6065",6065,"2013-02-27",112.24," b stander realdonaldtrump i read your books and i think america would do itself a favor to elect you as president thanks ",1,1,1
"6067",6067,"2013-02-27",112.24,"great news barbarajwalters has fully recovered and will be back on theviewtv this coming monday barbara is wonderful ",1,1,1
"6070",6070,"2013-02-27",112.24," paul christidis realdonaldtrump you are a person someone should aspire to be dedication commitment thanks ",1,1,1
"6071",6071,"2013-02-27",112.24," camiladerosax favorite family will always be the trumps realdonaldtrump thanks ",1,1,1
"6078",6078,"2013-02-27",112.24," rpbriggs realdonaldtrump on howardstern tomorrow morning is going to be great donald is such an entertaining interview thanks ",1,1,1
"6079",6079,"2013-02-27",112.24," jracker realdonaldtrump running for president trump thanks ",1,1,1
"6082",6082,"2013-02-28",112.2,"you haven t seen fireworks until you see omarosa amp piersmorgan go at it again let s just say it s no happy reunion ",1,1,1
"6088",6088,"2013-02-28",112.2,"remember no one ever said success was easy good luck doesn t come overnight but if u work hard amp love it u will find success amp luck ",1,1,1
"6089",6089,"2013-02-28",112.2," jtdixon inker happy birthday amp enjoy nyc ",1,1,1
"6092",6092,"2013-02-28",112.2,"be sure to watch the history of wrestlemania on netflix my interview explains how i supported the event early on i m proud of it ",1,1,1
"6093",6093,"2013-02-28",112.2,"as china is built on corporate espionage currency manipulation amp cheap labor its economy is a ticking time bomb ",-1,-1,-1
"6094",6094,"2013-02-28",112.2,"one good aspect of the obama depression is that it will separate the winners from the losers if you can make it now you deserve it ",-1,1,1
"6095",6095,"2013-02-28",112.2," misskhan happy birthday ",1,1,1
"6097",6097,"2013-02-28",112.2," looayg thanks and good luck ",1,1,1
"6098",6098,"2013-02-28",112.2," to succeed one must be creative and persistent john h johnson",1,1,1
"6101",6101,"2013-02-28",112.2," mena le apprenticenbc wrong not even close ",-1,-1,-1
"6107",6107,"2013-02-28",112.2,"i am very proud of stephenbaldwin s performance in the record th season of all star celebapprentice watch ",1,1,1
"6109",6109,"2013-02-28",112.2," mystudentapt thanks rob and good luck ",1,1,1
"6111",6111,"2013-02-28",112.2,"everyone is excited for thegarybusey s return to all star celebapprentice be warned this time gary is even more insane ",-1,1,-1
"6118",6118,"2013-03-01",110.14," dwade realdonaldtrump just book trump las vegas for a few nights vacation with my kids will we like it yes is great ",1,1,1
"6119",6119,"2013-03-01",110.14,"champion joan rivers loves being on the other side of the table in the boardroom she leaves no punches out in celebapprentice ",1,1,-1
"6120",6120,"2013-03-01",110.14,"if people knew how hard i worked to get my mastery it wouldn t seem so wonderful at all michelangelo",1,1,1
"6121",6121,"2013-03-01",110.14," bittersweet thanks kayla enjoy ",1,1,1
"6128",6128,"2013-03-01",110.14,"we should leave afghanistan immediately no more wasted lives if we have to go back in we go in hard amp quick rebuild the us first ",-1,-1,-1
"6134",6134,"2013-03-01",110.14,"remember this sunday i am also featured on datelinenbc at pm right before the premiere of all star celebapprentice nbc likes me ",1,1,1
"6136",6136,"2013-03-01",110.14," samijok realdonaldtrump do you think jodiarias is guilty yes no doubt",-1,-1,-1
"6142",6142,"2013-03-01",110.14,"due to popular demand lisarinna returns to the th season of all star celebapprentice lisa s fans won t be disappointed ",1,-1,1
"6146",6146,"2013-03-01",110.14," candynecklace realdonaldtrump i love love love mr trump he is my hero thanks ",1,1,1
"6147",6147,"2013-03-01",110.14," fashionfindsbyr thanks enjoy ",1,1,1
"6150",6150,"2013-03-01",110.14,"i am happy that the job on cbs the th knockoff of the apprentice was just cancelled i love to see my opponents lose not nice ",1,1,1
"6153",6153,"2013-03-02",110.14," juliewind realdonaldtrump mr trump i just love your show i have seen every season thanks it is great entertainment julie wind love",1,1,1
"6155",6155,"2013-03-02",110.14," peace janise realdonaldtrump celebrity apprentice is not just great entertainment its also schooling for the business world thanks ",1,1,1
"6170",6170,"2013-03-03",110.14," peace janise thanks janise ",1,1,1
"6172",6172,"2013-03-03",110.14," stumalec realdonaldtrump can t wait for celebrity apprenticenbc tomorrow bestshowontv yourefired trump prez thanks s ",1,-1,1
"6173",6173,"2013-03-03",110.14," coolness realdonaldtrump mr trump i loved when you called into the howard stern show it was so real and insightful thanks ",1,1,1
"6183",6183,"2013-03-03",110.14,"is chris jackson as dumb as i hear but i still like that he follows me like a good little soldier ",-1,1,1
"6188",6188,"2013-03-03",110.14," managerct would love to get a reply from realdonaldtrump huge fan of the celebrity apprentice and supporter of mr trump thanks ",1,1,1
"6190",6190,"2013-03-03",110.14," dattan realdonaldtrump what are your thoughts for being selected into the hall of fame for wrestlemania a great honor ",1,1,1
"6191",6191,"2013-03-03",110.14," zarkriggs realdonaldtrump it s all about jealousy you should just ignore their false reporting but i d rather expose them as losers ",-1,-1,-1
"6192",6192,"2013-03-03",110.14," jjlyons how comes realdonaldtrump notices everyone but me and my tweets to him read my tweets sir big fan your my idol thanks ",1,1,1
"6194",6194,"2013-03-03",110.14," jcpost realdonaldtrump esquire is irrelevant mo one reads it anymore and no one cares true ",-1,-1,1
"6197",6197,"2013-03-03",110.14,"really bad article about me in the dying or dead esquire magazine totally false lots of hatred when will this boring magazine close ",-1,-1,-1
"6201",6201,"2013-03-03",110.14,"losers and haters are invited to watch celebrity apprentice along with the many great and productive people in the hope that you will learn ",-1,1,1
"6202",6202,"2013-03-03",110.14," billionirv thanks for the nice words irv ",1,-1,1
"6203",6203,"2013-03-03",110.14,"losers and haterseven you as low and dumb as you are can learn from watching apprentice and checking out my tweets you can still succeed ",-1,1,-1
"6206",6206,"2013-03-04",109.9," celebapprentice wins o clock hour in all key ratings demographics including most importantly the age group ",1,1,1
"6216",6216,"2013-03-04",109.9,"i can t believe he would choose omarosa as his first choice she is hard to handle celebapprentice",-1,1,-1
"6218",6218,"2013-03-04",109.9," idkbrody realdonaldtrump so what did you think of my decision what would you have done celebapprentice trump president great",1,1,1
"6225",6225,"2013-03-04",109.9," ivankatrump looks like a movie star from the days of glamour and beauty celebapprentice",1,1,1
"6227",6227,"2013-03-04",109.9," omarosa as a cashier a big mistake by brandenroderick celebapprentice",-1,-1,-1
"6229",6229,"2013-03-04",109.9," kellyandmichael are both wonderful people their show is terrific celebapprentice",1,1,1
"6231",6231,"2013-03-04",109.9," ivankatrump and piersmorgan will be wonderful advisors celebapprentice",1,1,1
"6234",6234,"2013-03-04",109.9,"how does this cast look to you pretty amazing celebapprentice",1,1,1
"6236",6236,"2013-03-04",109.9," piersmorgan and omarosa really hate each other celebapprentice",-1,-1,-1
"6237",6237,"2013-03-04",109.9,"i always believed bretmichaels was making a mistake in coming back as a competitor i disagree with him but ",-1,-1,-1
"6238",6238,"2013-03-04",109.9," m sallis matt hope you will have a happy birthday ",1,1,1
"6241",6241,"2013-03-05",110.42,"heading to trump national doral to check the progress prior to the start of the cadillac championship on thursday i ll be there all week",1,1,1
"6242",6242,"2013-03-05",110.42,"to show you how dishonest some of the press is they took my funny amp cont ",-1,-1,1
"6249",6249,"2013-03-05",110.42,"it is my great honor to be speaking at cpac they are all about what s good for america ",1,1,1
"6250",6250,"2013-03-05",110.42," scheekster i agree it s a beautiful course to play thanks ",1,1,1
"6251",6251,"2013-03-05",110.42," laurierobertson it will be fantastic be sure to visit ",1,1,1
"6252",6252,"2013-03-05",110.42," wrightmomof iansomerhalder paulwesley joshduhamel zak bagans happy birthday tiffany ",1,1,1
"6253",6253,"2013-03-05",110.42," svenisaksson thanks sven and good luck ",1,1,1
"6256",6256,"2013-03-05",110.42,"rory tiger phil and ernie will be fun to watch this weekend at trump national doral ",1,1,1
"6258",6258,"2013-03-05",110.42," theevangruver thanks evan and good luck ",1,1,1
"6263",6263,"2013-03-06",110.27,"via golfweekmag major makeover trump has big vision for doral ",1,1,1
"6264",6264,"2013-03-06",110.27," lovitt marisa good to hear enjoy ",1,1,1
"6268",6268,"2013-03-06",110.27," somelikeitlar hope you enjoyed the premiere of all star celebrity apprenticenbc make sure marklevinshow watches ",1,1,1
"6269",6269,"2013-03-06",110.27," trump has big plans for improving doralresort ",1,1,1
"6274",6274,"2013-03-06",110.27," homeedmam i wish him the best of luck ",1,1,1
"6276",6276,"2013-03-06",110.27,"it s been great making so many new friends at trump doralresort for the cadillacchamp good luck to everyone ",1,1,1
"6277",6277,"2013-03-06",110.27," crewsawyer it will be fantastic be sure to visit ",1,1,1
"6278",6278,"2013-03-06",110.27," xo deannayoung good subject good luck ",1,1,1
"6286",6286,"2013-03-07",110.42,"re decisions cover your bases then ask yourself this question what am i pretending not to see this can save a lot of time amp trouble ",-1,1,-1
"6287",6287,"2013-03-07",110.42," signoresifis huge fan of realdonaldtrump i think is a very intelligent and tenacious man big role model to me thank you ",1,1,1
"6289",6289,"2013-03-07",110.42," a r o thanks good choice amp good luck ",1,1,1
"6293",6293,"2013-03-07",110.42," kstan good luck ",1,1,1
"6297",6297,"2013-03-07",110.42," claudiamota good morning realdonaldtrump i admire your leadership amp look forward to hearing you speak next week thank you ",1,1,1
"6298",6298,"2013-03-07",110.42,"john heilemann the lightweight reporter begging to be on morning joe looks like a timebomb waiting to explode he s a nervous and sad mess ",-1,-1,-1
"6303",6303,"2013-03-08",108.91," no average joee realdonaldtrump you should run for president genius trump thanks ",1,1,1
"6304",6304,"2013-03-08",108.91," read n learn realdonaldtrump first day at doral was awesome greens looked perfect can t wait to see the course after your changes ",1,1,1
"6306",6306,"2013-03-08",108.91," amowjf realdonaldtrump you are a true champion just started a company n i m reading ur book the art of the deal tremendous help ",1,1,1
"6307",6307,"2013-03-08",108.91," melpoluk good luck ",1,1,1
"6310",6310,"2013-03-08",108.91," j pala realdonaldtrump what s the next step you accomplish so much is there more much more stay tuned ",1,1,1
"6311",6311,"2013-03-08",108.91," savvy princess thanks becky ",1,1,1
"6314",6314,"2013-03-08",108.91,"golf is a brain game amp is a great way to improve your business skills concentrationassessment technique amp passion it s all there ",1,1,1
"6317",6317,"2013-03-08",108.91," ziggi good luck ",1,1,1
"6321",6321,"2013-03-08",108.91," you have to be patient as well as enthusiastic when it comes to your goals think big but be realistic think big",1,1,1
"6325",6325,"2013-03-08",108.91,"rt doralresort thanks rt gem wood donaldjtrumpjr you guys doralresort have one hell of a leaderboard love this tournament ",1,1,1
"6332",6332,"2013-03-11",108.64,"re omarosa nasty tough or smart or all ",1,-1,-1
"6335",6335,"2013-03-11",108.64,"let us never negotiate out of fear but let us never fear to negotiate john f kennedy inaugural address january ",-1,-1,-1
"6336",6336,"2013-03-11",108.64,"omarosa is very confident that the execs loved her concept amp presentation ",1,1,1
"6337",6337,"2013-03-11",108.64,"which team is your favorite ",1,1,1
"6339",6339,"2013-03-11",108.64,"the losing team is now back in boardroom i can t discuss the team members or what s going on or what happens from here on out ",-1,-1,-1
"6340",6340,"2013-03-11",108.64," celebapprentice was on network tv last night in its time slot and easily won the o clock hour in all major demographics ",1,1,1
"6346",6346,"2013-03-11",108.64,"between a terrible press conference mishandled prisoner swap amp taliban attacks hagel s st trip as sod was a disaster no surprise ",-1,-1,-1
"6347",6347,"2013-03-11",108.64,"my is incredible i think the teams agree on that ",1,1,1
"6348",6348,"2013-03-11",108.64,"if you have built castles in the air your work need not be lost that is where they should be now put the foundations under them thoreau",-1,-1,-1
"6349",6349,"2013-03-11",108.64,"trace and his team raised an amazing amount of looks like a good season for charities ",1,1,1
"6355",6355,"2013-03-11",108.64," deesnider is a great guy amp a total winner he understood he did not leave me any other choice look forward to keeping in touch ",1,1,1
"6358",6358,"2013-03-11",108.64,"to tigerwoods he is truly a great champion and we were honored to have him at trump national doral doralresort trump",1,1,1
"6360",6360,"2013-03-11",108.64,"honest omarosa she won t backstab she ll come at you from the front ",1,1,1
"6361",6361,"2013-03-11",108.64,"firing bret was a tough one for me but omarosa doesn t seem to mind ",1,-1,-1
"6363",6363,"2013-03-12",108.48," hammerleamanda therealkiyosaki thanks and good luck ",1,1,1
"6364",6364,"2013-03-12",108.48," graeme mcdowell great playing this weekend you are a true winner we look forward to having you back to trump national doral ",1,1,1
"6365",6365,"2013-03-12",108.48," be a yardstick of quality some people aren t used to an environment where excellence is expected steve jobs",1,1,1
"6370",6370,"2013-03-12",108.48," if you love what you do you are going to work harder you are going to try harder and you will be better at it think big",1,1,1
"6372",6372,"2013-03-12",108.48,"ashley judd s candidacy was created by karl rove s terrible ads even before she thought seriously about running ",-1,-1,-1
"6379",6379,"2013-03-12",108.48,"hamas has warned pres obama not to visit the temple mount during his trip to israel ",-1,1,-1
"6380",6380,"2013-03-12",108.48,"congratulations to newyorkobserver on celebrating its year anniversary great paper under amazing management ",1,1,1
"6382",6382,"2013-03-12",108.48," a person who never made a mistake never tried anything new albert einstein",-1,-1,-1
